version,publish_date
v2.17.0,2024-07-11 16:28:57+00:00
v2.17.0-rc1,2024-07-02 04:17:28+00:00
v2.16.2,2024-06-28 18:56:30+00:00
v2.17.0-rc0,2024-06-18 20:41:46+00:00
v2.15.1,2024-03-08 19:09:29+00:00
v2.16.1,2024-03-07 18:54:30+00:00
v2.16.0-rc0,2024-02-26 22:54:41+00:00
v2.15.0,2023-11-14 18:46:08+00:00
v2.14.1,2023-11-14 18:42:20+00:00
v2.15.0-rc1,2023-11-03 18:09:42+00:00
v2.15.0-rc0,2023-10-25 23:15:20+00:00
v2.14.0,2023-09-26 22:45:05+00:00
v2.13.1,2023-09-26 20:34:00+00:00
v2.14.0-rc1,2023-08-31 21:42:28+00:00
v2.14.0-rc0,2023-08-17 18:09:07+00:00
v2.13.0,2023-07-05 17:32:13+00:00
v2.12.1,2023-07-05 19:49:02+00:00
v2.13.0-rc2,2023-06-22 18:05:19+00:00
v2.13.0-rc1,2023-05-30 17:38:45+00:00
v2.13.0-rc0,2023-05-09 19:47:35+00:00
v2.12.0,2023-03-23 15:50:02+00:00
v2.11.1,2023-03-20 17:03:21+00:00
v2.12.0-rc1,2023-03-07 19:10:44+00:00
v2.12.0-rc0,2023-02-15 00:41:50+00:00
v2.11.0,2022-11-18 06:01:33+00:00
v2.10.1,2022-11-16 20:31:35+00:00
v2.9.3,2022-11-16 19:57:28+00:00
v2.8.4,2022-11-16 19:22:47+00:00
v2.11.0-rc2,2022-11-02 16:59:54+00:00
v2.11.0-rc1,2022-10-19 16:26:28+00:00
v2.11.0-rc0,2022-10-18 18:19:02+00:00
v2.10.0,2022-09-06 19:44:26+00:00
v2.9.2,2022-09-03 03:27:32+00:00
v2.8.3,2022-09-02 21:26:19+00:00
v2.7.4,2022-09-02 20:03:49+00:00
v2.10.0-rc3,2022-08-29 18:01:52+00:00
v2.10.0-rc2,2022-08-23 18:09:36+00:00
v2.10.0-rc1,2022-08-15 18:31:26+00:00
v2.10.0-rc0,2022-08-03 22:21:17+00:00
v2.9.1,2022-05-23 17:00:13+00:00
v2.8.2,2022-05-23 17:00:01+00:00
v2.6.5,2022-05-23 16:59:45+00:00
v2.7.3,2022-05-23 16:59:53+00:00
v2.9.0,2022-05-16 21:12:57+00:00
v2.6.4,2022-05-16 17:44:43+00:00
v2.8.1,2022-05-16 17:44:53+00:00
v2.7.2,2022-05-16 17:44:48+00:00
v2.9.0-rc2,2022-05-04 21:00:18+00:00
v2.9.0-rc1,2022-04-21 20:35:54+00:00
v2.9.0-rc0,2022-04-12 17:32:37+00:00
v2.8.0,2022-02-02 16:54:38+00:00
v2.7.1,2022-02-02 16:54:31+00:00
v2.6.3,2022-02-02 16:54:25+00:00
v2.5.3,2022-02-02 16:54:18+00:00
v2.8.0-rc1,2022-01-24 17:33:18+00:00
v2.8.0-rc0,2021-12-22 20:42:07+00:00
v2.6.2,2021-11-04 15:05:40+00:00
v2.7.0,2021-11-04 21:39:30+00:00
v2.6.1,2021-11-01 20:36:37+00:00
v2.5.2,2021-11-01 20:36:34+00:00
v2.4.4,2021-11-01 20:36:32+00:00
v2.7.0-rc1,2021-10-22 16:53:27+00:00
v2.7.0-rc0,2021-10-07 18:26:39+00:00
v2.4.3,2021-08-12 16:04:34+00:00
v2.3.4,2021-08-12 16:03:25+00:00
v2.6.0,2021-08-11 17:11:31+00:00
v2.5.1,2021-08-10 22:06:20+00:00
v2.6.0-rc2,2021-08-04 15:50:42+00:00
v2.6.0-rc1,2021-07-13 17:43:32+00:00
v2.6.0-rc0,2021-06-29 19:37:35+00:00
v2.4.2,2021-06-15 21:29:30+00:00
v2.2.3,2021-06-15 21:28:29+00:00
v2.1.4,2021-06-15 21:26:58+00:00
v2.3.3,2021-06-15 21:28:59+00:00
v2.5.0,2021-05-13 18:18:51+00:00
v2.5.0-rc3,2021-05-05 23:09:04+00:00
v2.5.0-rc2,2021-04-27 23:12:44+00:00
v2.5.0-rc1,2021-04-13 17:30:32+00:00
v2.5.0-rc0,2021-04-02 00:02:34+00:00
v2.4.1,2021-01-21 19:55:54+00:00
v2.3.2,2021-01-06 17:51:27+00:00
v2.2.2,2021-01-06 17:50:22+00:00
v2.1.3,2021-01-06 17:48:36+00:00
v2.0.4,2021-01-06 17:47:30+00:00
v1.15.5,2021-01-06 17:46:14+00:00
v2.4.0,2020-12-14 18:16:52+00:00
v2.4.0-rc4,2020-12-04 19:47:09+00:00
v2.4.0-rc3,2020-11-24 18:31:55+00:00
v2.4.0-rc2,2020-11-18 18:33:46+00:00
v2.4.0-rc1,2020-11-09 19:37:33+00:00
v2.4.0-rc0,2020-11-02 21:57:54+00:00
v2.1.2,2020-09-24 17:45:55+00:00
v2.3.1,2020-09-24 17:46:02+00:00
v2.2.1,2020-09-24 17:45:59+00:00
v2.0.3,2020-09-24 17:45:51+00:00
v1.15.4,2020-09-24 17:45:35+00:00
v2.3.0,2020-07-27 18:37:19+00:00
v2.3.0-rc2,2020-07-18 04:50:38+00:00
v2.3.0-rc1,2020-07-09 02:34:25+00:00
v2.3.0-rc0,2020-06-26 23:27:29+00:00
v2.1.1,2020-05-18 16:04:51+00:00
v1.15.3,2020-05-18 16:02:26+00:00
v2.0.2,2020-05-18 16:03:17+00:00
v2.2.0,2020-05-06 19:14:06+00:00
v2.2.0-rc4,2020-04-30 00:24:05+00:00
v2.2.0-rc3,2020-04-14 00:11:30+00:00
v2.2.0-rc2,2020-03-27 23:56:59+00:00
v2.2.0-rc1,2020-03-19 17:04:35+00:00
v2.2.0-rc0,2020-03-10 23:42:54+00:00
v1.15.2,2020-01-26 15:02:04+00:00
v2.0.1,2020-01-25 16:46:55+00:00
v2.1.0,2020-01-08 18:54:32+00:00
v2.1.0-rc2,2019-12-23 20:42:30+00:00
v2.1.0-rc1,2019-12-11 05:39:02+00:00
